horizon,scenario,ofse_ev_bn,iet_core_ev_bn,dc_incremental_ebitda_bn,dc_option_ev_bn,corporate_ev_adjustment_bn,enterprise_value_bn,net_debt_ex_lease_bn,equity_value_bn,shares_after_buyback_m,terminal_value_per_share_after_buyback_usd,current_price_usd,dividend_per_share_usd,annual_buyback_bn,shareholder_total_return_stable_net_debt_pct,shareholder_irr_stable_net_debt_pct,shareholder_irr_cash_draw_pct
FY2027_2Y,Bear,17.250,23.500,0.042,0.378,-3.180,37.948,2.372,35.576,975.847,36.457,61.985,0.92,0.384,-38.22,-21.60,-24.39
FY2027_2Y,Base,22.100,29.325,0.096,1.152,-3.180,49.397,2.372,47.025,975.847,48.189,61.985,0.92,0.384,-19.29,-10.25,-12.66
FY2027_2Y,Bull,26.600,37.800,0.200,3.000,-3.180,64.220,2.372,61.848,975.847,63.379,61.985,0.92,0.384,5.22,2.59,0.49
FY2029_5Y,Bear,16.500,23.000,0.140,1.400,-3.180,37.720,2.372,35.348,957.262,36.926,61.985,0.92,0.384,-33.01,-8.00,-11.35
FY2029_5Y,Base,22.100,31.200,0.360,5.040,-3.180,55.160,2.372,52.788,957.262,55.145,61.985,0.92,0.384,-3.61,-0.76,-3.16
FY2029_5Y,Bull,26.600,40.600,0.660,11.880,-3.180,75.900,2.372,73.528,957.262,76.811,61.985,0.92,0.384,31.34,5.75,3.92
