fiscal_year,metric,value,unit,source_accession,filed,source_note
2022,inventory,740.7,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2022,operating_income,709.1,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2022,parent_equity,2360.9,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2022,parent_net_income,545.9,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2022,ppe,528.0,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2022,pretax_income,657.0,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2022,receivables,741.6,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2022,repurchase_cash,182.0,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2022,revenue,4947.9,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2022,selling_general_admin,762.5,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2022,total_equity,2370.6,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2022,total_liabilities,3032.0,USD,0001628280-24-003792,2024-02-08,SEC Company Facts; latest filed 10-K fact for period
2023,accounts_payable,563.5,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,assets,6914.0,USD,0001628280-24-003792,2024-02-08,FY2023 10-K original balance sheet; FY2025 FIFO recast does not present a 2023 balance sheet
2023,capex,165.7,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,cash,336.1,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,cff,388.5,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,cfi,-1380.2,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,cfo,880.8,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,cfo_continuing,880.8,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,consolidated_net_income,757.6,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,cost_of_goods_sold,3495.9,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,current_assets,2167.2,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,current_liabilities,1323.4,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,debt_current,117.4,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,debt_long_term,2023.2,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,depreciation_amortization,149.7,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,dividend_per_share,4.58e-06,USD/shares,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,goodwill,2533.4,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,gross_debt,2140.6,USD,,,Analyst calculation: current + long-term debt
2023,gross_profit,1877.0,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,income_tax,214.6,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,inventory,832.9,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,operating_income,1027.4,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,parent_equity,2877.0,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,parent_net_income,751.4,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,ppe,652.6,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,pretax_income,972.2,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,receivables,785.4,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,repurchase_cash,30.0,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,revenue,5372.9,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,selling_general_admin,849.6,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2023,total_equity,2889.3,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2023,total_liabilities,4024.7,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2024,accounts_payable,541.7,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,assets,6847.7,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,capex,180.4,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,cash,329.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,cff,-923.4,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,cfi,-59.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,cfo,991.2,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,cfo_continuing,991.2,USD,0001628280-25-005311,2025-02-13,SEC Company Facts; latest filed 10-K fact for period
2024,consolidated_net_income,784.7,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,cost_of_goods_sold,3722.9,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,current_assets,2257.9,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,current_liabilities,1274.2,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,debt_current,125.4,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,debt_long_term,1442.7,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,depreciation_amortization,212.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,dividend_per_share,4.980000000000001e-06,USD/shares,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,goodwill,2500.8,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,gross_debt,1568.1000000000001,USD,,,Analyst calculation: current + long-term debt
2024,gross_profit,1905.6,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,income_tax,222.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,inventory,1010.4,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,operating_income,1093.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,parent_equity,3396.2,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,parent_net_income,779.0,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,ppe,726.6,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,pretax_income,1006.8,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,receivables,756.0,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,repurchase_cash,40.0,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,revenue,5628.5,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,selling_general_admin,812.5,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,total_equity,3410.6,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2024,total_liabilities,3437.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,accounts_payable,570.5,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,assets,8228.8,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,capex,155.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,cash,482.5,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,cff,203.6,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,cfi,-1094.6,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,cfo,1029.8,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,consolidated_net_income,891.9,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,cost_of_goods_sold,3780.5,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,current_assets,2594.0,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,current_liabilities,1508.7,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,debt_current,289.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,debt_long_term,2036.3,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,depreciation_amortization,206.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,dividend_per_share,5.38e-06,USD/shares,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,goodwill,3060.8,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,gross_debt,2325.4,USD,,,Analyst calculation: current + long-term debt
2025,gross_profit,2064.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,income_tax,227.2,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,inventory,1083.8,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,operating_income,1208.8,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,parent_equity,3847.9,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,parent_net_income,887.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,ppe,841.2,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,pretax_income,1119.1,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,receivables,856.9,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,repurchase_cash,225.0,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,revenue,5844.6,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,selling_general_admin,855.3,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,total_equity,3857.9,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
2025,total_liabilities,4370.9,USD,0001628280-26-007500,2026-02-12,SEC Company Facts; latest filed 10-K fact for period
