fiscal_year,total_revenue_musd,ofse_revenue_musd,ofse_well_construction_musd,ofse_completions_intervention_measurements_musd,ofse_production_solutions_musd,ofse_subsea_surface_pressure_musd,iet_revenue_musd,iet_gte_musd,iet_gts_musd,iet_industrial_products_musd,iet_industrial_solutions_musd,iet_controls_musd,iet_cts_musd,ofse_orders_musd,iet_orders_musd,total_orders_musd,ofse_rpo_musd,iet_rpo_musd,total_rpo_musd,contract_revenue_excess_assets_musd,contract_deferred_assets_musd,contract_liabilities_musd,ofse_segment_assets_musd,iet_segment_assets_musd,ofse_capex_musd,iet_capex_musd,corporate_capex_musd,total_capex_musd,ofse_da_musd,iet_da_musd,corporate_da_musd,source_id,source_locator
2021,20502,12028,3301,3106,3135,2486,8473,3039,2696,1598,880,217,43,11800,9900,21700,2000,21500,23600,1414,1598,3232,17950,11480,659,182,15,856,874,208,23,S05,"pp.49-53,84-86; Note 7-8"
2022,21156,13229,3854,3559,3587,2230,7926,2599,2440,1697,884,208,98,14100,12700,26800,2600,25300,27800,1347,1503,3822,17181,12286,791,183,15,989,845,197,19,S04,"pp.52-54,86-89; Note 6-7"
2023,25506,15361,4387,4170,3854,2950,10145,4232,2600,1962,983,41,326,16344,14178,30522,3500,29900,33500,1602,1756,5542,17925,13781,960,229,35,1224,849,217,21,S03,"pp.52-54,84-90; Note 6-7,16-17"
2024,27829,15628,4145,4154,3860,3470,12201,5693,2797,2040,1065,0,605,15240,13000,28240,3000,30100,33100,1593,1730,5672,18781,13838,954,284,40,1278,893,220,23,S02,"pp.55-56,86-91; Note 6-7,16-17"
2025,27733,14324,3646,3750,3806,3122,13409,6619,3028,1991,1123,0,647,14714,14871,29585,3500,32400,35900,1453,1620,5904,18744,14934,887,325,61,1273,932,233,23,S01,"pp.35-40,55-57,88-93; Note 6-7,16-17"
