period,net_loans,allowance,provision,deposits,escrow,consumer_sme_principal,on_book_principal,off_book_principal,npl90_pct,gross_writeoffs,balance_sheet_unit,principal_unit,source,results_source,comparability_note
2021,1529.918,97.676,117.427,465.85,1545.399,not disclosed,not disclosed,not disclosed,not disclosed,not disclosed,USD million,USD billion,Sea-FY2023-Form-20-F.pdf,Sea-FY2021-Results.pdf,Results principal and NPL include on- and off-book consumer/SME loans; balance-sheet net loans include other loans and exclude allowance
2022,2075.43,238.819,513.69,1316.395,1862.325,not disclosed,not disclosed,not disclosed,not disclosed,not disclosed,USD million,USD billion,Sea-FY2023-Form-20-F.pdf,Sea-FY2022-Results.pdf,Results principal and NPL include on- and off-book consumer/SME loans; balance-sheet net loans include other loans and exclude allowance
2023,2485.213,321.568,633.942,1706.299,2199.464,not disclosed,not disclosed,not disclosed,not disclosed,not disclosed,USD million,USD billion,Sea-FY2025-Form-20-F.pdf,Sea-FY2023-Results.pdf,Results principal and NPL include on- and off-book consumer/SME loans; balance-sheet net loans include other loans and exclude allowance
2024,4160.809,449.335,776.937,2711.693,2498.094,5.1,4.2,0.9,1.2,614.199,USD million,USD billion,Sea-FY2025-Form-20-F.pdf,Sea-FY2024-Results.pdf,Results principal and NPL include on- and off-book consumer/SME loans; balance-sheet net loans include other loans and exclude allowance
2025,7964.077,841.972,1372.616,3798.25,3096.764,9.2,8.2,1.0,1.1,992.892,USD million,USD billion,Sea-FY2025-Form-20-F.pdf,Sea-FY2025-Results.pdf,Results principal and NPL include on- and off-book consumer/SME loans; balance-sheet net loans include other loans and exclude allowance
