period,balance_sheet_cash_usd_m,current_restricted_cash_usd_m,noncurrent_restricted_cash_usd_m,held_for_sale_cash_usd_m,cash_flow_ending_cash_usd_m,reconciled_difference_usd_m,source,page
2021,9247.762,1551.635,38.743,0.0,10838.14,-0.0,Sea-FY2023-Form-20-F.pdf,F-7 and F-15
2022,6029.859,1549.574,17.724,13.227,7610.384,-0.0,Sea-FY2023-Form-20-F.pdf,F-7 and F-15
2023,2811.056,1410.365,22.236,0.0,4243.657,0.0,Sea-FY2025-Form-20-F.pdf,F-7 and F-15
2024,2405.153,1655.171,21.261,0.0,4081.585,0.0,Sea-FY2025-Form-20-F.pdf,F-7 and F-15
2025,4158.92,2216.733,43.814,0.0,6419.467,-0.0,Sea-FY2025-Form-20-F.pdf,F-7 and F-15
