period,segment,revenue,cost_of_revenue,sales_marketing,provision,other_operating,segment_profit,segment_margin_pct,cost_of_revenue_pct,sales_marketing_pct,provision_pct,other_operating_pct,incremental_segment_margin_pct,source,page,status
2023,Shopee,9000.848,6194.9,2510.693,0.0,845.725,-550.47,-6.12,68.83,27.89,0.0,9.4,not applicable,Sea-FY2025-Form-20-F.pdf,F-73 to F-75,reported inputs; analyst-calculated ratios
2023,Monee,1759.422,279.745,116.445,630.3,242.723,490.209,27.86,15.9,6.62,35.82,13.8,not applicable,Sea-FY2025-Form-20-F.pdf,F-73 to F-75,reported inputs; analyst-calculated ratios
2023,Garena,2172.009,672.481,104.721,0.0,216.936,1177.871,54.23,30.96,4.82,0.0,9.99,not applicable,Sea-FY2025-Form-20-F.pdf,F-73 to F-75,reported inputs; analyst-calculated ratios
2024,Shopee,12415.231,8611.53,2966.084,0.0,977.048,-139.431,-1.12,69.36,23.89,0.0,7.87,12.04,Sea-FY2025-Form-20-F.pdf,F-73 to F-75,reported inputs; analyst-calculated ratios
2024,Monee,2367.739,348.424,298.386,771.407,292.02,657.502,27.77,14.72,12.6,32.58,12.33,27.5,Sea-FY2025-Form-20-F.pdf,F-73 to F-75,reported inputs; analyst-calculated ratios
2024,Garena,1910.589,610.586,117.556,0.0,203.626,978.821,51.23,31.96,6.15,0.0,10.66,76.14,Sea-FY2025-Form-20-F.pdf,F-73 to F-75,reported inputs; analyst-calculated ratios
2025,Shopee,16564.605,11380.266,3546.753,0.0,1056.534,581.052,3.51,68.7,21.41,0.0,6.38,17.36,Sea-FY2025-Form-20-F.pdf,F-73 to F-75,reported inputs; analyst-calculated ratios
2025,Monee,3791.641,475.024,614.228,1365.556,364.151,972.682,25.65,12.53,16.2,36.01,9.6,22.13,Sea-FY2025-Form-20-F.pdf,F-73 to F-75,reported inputs; analyst-calculated ratios
2025,Garena,2408.765,791.378,174.104,0.0,259.212,1184.071,49.16,32.85,7.23,0.0,10.76,41.2,Sea-FY2025-Form-20-F.pdf,F-73 to F-75,reported inputs; analyst-calculated ratios
