period,net_income,provision,share_based_compensation,deferred_revenue_change,escrow_payables_change,accrued_payables_change,prepaids_other_assets_change,cfo,loan_receivable_deployment,deposits_payable_inflow,securitization_proceeds,securitization_repayment,traditional_capex,cash_after_traditional_capex,cash_after_traditional_capex_and_net_loan_deployment,loan_deployment_pct_revenue,deposits_plus_net_securitization,source,page,status
2023,162.682,633.942,685.03,-325.16,396.757,455.088,-344.845,2079.688,999.85,389.276,119.687,0.0,258.261,1821.427,821.577,7.65,508.963,Sea-FY2025-Form-20-F.pdf,F-14 to F-15,reported inputs; analyst-calculated bridge
2024,447.827,776.937,715.839,281.899,467.424,522.785,-39.411,3277.42,2532.291,1292.099,185.215,0.0,321.593,2955.827,423.536,15.06,1477.314,Sea-FY2025-Form-20-F.pdf,F-14 to F-15,reported inputs; analyst-calculated bridge
2025,1610.894,1372.616,624.995,576.1,474.359,650.148,-603.611,5024.523,4707.248,1051.423,478.286,124.793,524.499,4500.024,-207.224,20.52,1404.916,Sea-FY2025-Form-20-F.pdf,F-14 to F-15,reported inputs; analyst-calculated bridge
